Matrix,Compound,Class,Median Conc
ECF-based AFFF,AmPr-FASA (4),Primary ECF-based precursor,600
ECF-based AFFF,PFSA (6),PFSA,600
ECF-based AFFF,AmPr-FASA-PrA (4),Primary ECF-based precursor,1100
ECF-based AFFF,AmPr-FASA (6),Primary ECF-based precursor,2050
ECF-based AFFF,AmPr-FASA-PrA (6),Primary ECF-based precursor,2300
ECF-based AFFF,PFSA (8),PFSA,4900
FT-based AFFF,PFSA (4),PFSA,0.1
FT-based AFFF,PFCA (11),PFCA,0.15
FT-based AFFF,FOSA-based,Secondary ECF-based precursor,0.2
FT-based AFFF,PFCA (8),PFCA,0.2
FT-based AFFF,PFCA (9),PFCA,0.2
FT-based AFFF,PFSA (10),PFSA,0.2
FT-based AFFF,PFSA (6),PFSA,0.2
FT-based AFFF,n:2 FTS (4),Secondary FT-based precursor,0.3
FT-based AFFF,PFCA (4),PFCA,0.3
FT-based AFFF,PFSA (9),PFSA,0.4
FT-based AFFF,PFCA (6),PFCA,0.6
FT-based AFFF,PFCA (7),PFCA,0.6
FT-based AFFF,PFPAs (8/10),PFPA,0.9
FT-based AFFF,PFCA (3),PFCA,1
FT-based AFFF,PFSA (8),PFSA,1.5
FT-based AFFF,PFCA (5),PFCA,1.6
FT-based AFFF,n:2 FTCA (8),Secondary FT-based precursor,2
FT-based AFFF,n:2 FTS (8),Secondary FT-based precursor,3.1
FT-based AFFF,n:2 FTOH (10),Secondary FT-based precursor,5.8
FT-based AFFF,n:2 FTOH (6),Secondary FT-based precursor,8
FT-based AFFF,n:2 FTOH (8),Secondary FT-based precursor,8
FT-based AFFF,n:2 FtTAoS (4),Primary FT-based precursor,26.9
FT-based AFFF,n:2 FTS (6),Secondary FT-based precursor,53.7
FT-based AFFF,n:2 FtTAoS (8),Primary FT-based precursor,135.5
FT-based AFFF,n:2 FTAB (12),Primary FT-based precursor,320
FT-based AFFF,n:2 FtSaAm (6),Primary FT-based precursor,400
FT-based AFFF,n:2 FTAB (10),Primary FT-based precursor,450
FT-based AFFF,n:2 FTAB (8),Primary FT-based precursor,500
FT-based AFFF,n:3 FTB (5/7/9),Primary FT-based precursor,565
FT-based AFFF,n:2 FtSaAm (8),Primary FT-based precursor,585
FT-based AFFF,n:2 H-FTB (5/7/9),Primary FT-based precursor,2150
FT-based AFFF,n:2 FtTHN (6),Primary FT-based precursor,2200
FT-based AFFF,n:2 FTAB (6),Primary FT-based precursor,3188
FT-based AFFF,n:2 FtTAoS (6),Primary FT-based precursor,7100
