Source,Target,Type,Id,Label,timeset,Weight,pn
ASV0104,ASV1666,Undirected,90,NA,NA,1.670217,p
ASV0104,ASV1760,Undirected,91,NA,NA,1.670217,p
ASV0104,ASV1771,Undirected,92,NA,NA,1.670217,p
ASV0104,ASV2000,Undirected,93,NA,NA,2,p
ASV0104,ASV2084,Undirected,94,NA,NA,1.976945,p
ASV0104,ASV2086,Undirected,95,NA,NA,1.663315,p
ASV0112,ASV2099,Undirected,96,NA,NA,1.991736,p
ASV0112,ASV2156,Undirected,97,NA,NA,2,p
ASV0117,ASV0202,Undirected,100,NA,NA,2,p
ASV0117,ASV0204,Undirected,101,NA,NA,1.994236,p
ASV0117,ASV0242,Undirected,102,NA,NA,1.618214,p
ASV0117,ASV0257,Undirected,103,NA,NA,1.994236,p
ASV0117,ASV0486,Undirected,104,NA,NA,1.663315,p
ASV0117,ASV0654,Undirected,105,NA,NA,1.994236,p
ASV0117,ASV0917,Undirected,106,NA,NA,1.670217,p
ASV0117,ASV0939,Undirected,107,NA,NA,1.982709,p
ASV0117,ASV1309,Undirected,108,NA,NA,1.976945,p
ASV0117,ASV1491,Undirected,109,NA,NA,2,p
ASV0117,ASV1652,Undirected,110,NA,NA,1.982709,p
ASV0117,ASV1653,Undirected,111,NA,NA,1.994236,p
ASV0117,ASV2000,Undirected,112,NA,NA,1.982709,p
ASV0117,ASV2084,Undirected,113,NA,NA,1.994236,p
ASV0121,ASV0714,Undirected,114,NA,NA,1.759985,p
ASV0123,ASV0799,Undirected,115,NA,NA,1.663315,p
ASV0123,ASV1399,Undirected,116,NA,NA,1.663315,p
ASV0123,ASV1543,Undirected,117,NA,NA,1.663315,p
ASV0123,ASV1733,Undirected,118,NA,NA,1.670217,p
ASV0123,ASV2165,Undirected,119,NA,NA,1.670217,p
ASV0123,ASV2193,Undirected,120,NA,NA,1.663315,p
ASV0132,ASV0497,Undirected,121,NA,NA,1.693419,p
ASV0132,ASV0941,Undirected,122,NA,NA,1.642115,p
ASV0132,ASV1222,Undirected,123,NA,NA,1.632575,p
ASV0132,ASV1341,Undirected,124,NA,NA,1.995859,p
ASV0132,ASV2159,Undirected,125,NA,NA,1.715832,p
ASV0142,ASV1432,Undirected,127,NA,NA,2,p
ASV0151,ASV0201,Undirected,128,NA,NA,1.977376,p
ASV0151,ASV0309,Undirected,129,NA,NA,1.80176,p
ASV0151,ASV0360,Undirected,130,NA,NA,1.959276,p
ASV0151,ASV0413,Undirected,131,NA,NA,1.977376,p
ASV0151,ASV0415,Undirected,132,NA,NA,1.998868,p
ASV0151,ASV0490,Undirected,133,NA,NA,1.687818,p
ASV0151,ASV0491,Undirected,134,NA,NA,1.992077,p
ASV0151,ASV0521,Undirected,135,NA,NA,1.649516,p
ASV0151,ASV0523,Undirected,136,NA,NA,1.973967,p
ASV0151,ASV0777,Undirected,137,NA,NA,1.968326,p
ASV0151,ASV0804,Undirected,138,NA,NA,1.621393,p
ASV0151,ASV0829,Undirected,139,NA,NA,1.964913,p
ASV0151,ASV0857,Undirected,140,NA,NA,1.9819,p
ASV0151,ASV0873,Undirected,141,NA,NA,1.99095,p
