Source,Target,Type,Id,Label,timeset,Weight
ASV0095,ASV2005,Undirected,74,,,1.954751
ASV0104,ASV0117,Undirected,75,,,1.982709
ASV0104,ASV0202,Undirected,76,,,1.982709
ASV0104,ASV0204,Undirected,77,,,1.976945
ASV0104,ASV0242,Undirected,78,,,1.618214
ASV0104,ASV0257,Undirected,79,,,1.994236
ASV0104,ASV0317,Undirected,80,,,1.670217
ASV0104,ASV0654,Undirected,81,,,1.994236
ASV0104,ASV0667,Undirected,82,,,1.670217
ASV0104,ASV0939,Undirected,83,,,2
ASV0104,ASV1182,Undirected,84,,,1.670217
ASV0104,ASV1309,Undirected,85,,,1.994236
ASV0104,ASV1486,Undirected,86,,,1.670217
ASV0104,ASV1491,Undirected,87,,,1.982709
ASV0104,ASV1652,Undirected,88,,,1.982709
ASV0104,ASV1653,Undirected,89,,,1.976945
ASV0104,ASV1666,Undirected,90,,,1.670217
ASV0104,ASV1760,Undirected,91,,,1.670217
ASV0104,ASV1771,Undirected,92,,,1.670217
ASV0104,ASV2000,Undirected,93,,,2
ASV0104,ASV2084,Undirected,94,,,1.976945
ASV0104,ASV2086,Undirected,95,,,1.663315
ASV0112,ASV2099,Undirected,96,,,1.991736
ASV0112,ASV2156,Undirected,97,,,2
ASV0117,ASV0202,Undirected,100,,,2
ASV0117,ASV0204,Undirected,101,,,1.994236
ASV0117,ASV0242,Undirected,102,,,1.618214
ASV0117,ASV0257,Undirected,103,,,1.994236
ASV0117,ASV0486,Undirected,104,,,1.663315
ASV0117,ASV0654,Undirected,105,,,1.994236
ASV0117,ASV0917,Undirected,106,,,1.670217
ASV0117,ASV0939,Undirected,107,,,1.982709
ASV0117,ASV1309,Undirected,108,,,1.976945
ASV0117,ASV1491,Undirected,109,,,2
ASV0117,ASV1652,Undirected,110,,,1.982709
ASV0117,ASV1653,Undirected,111,,,1.994236
ASV0117,ASV2000,Undirected,112,,,1.982709
ASV0117,ASV2084,Undirected,113,,,1.994236
ASV0121,ASV0714,Undirected,114,,,1.759985
ASV0123,ASV0799,Undirected,115,,,1.663315
ASV0123,ASV1399,Undirected,116,,,1.663315
ASV0123,ASV1543,Undirected,117,,,1.663315
ASV0123,ASV1733,Undirected,118,,,1.670217
ASV0123,ASV2165,Undirected,119,,,1.670217
ASV0123,ASV2193,Undirected,120,,,1.663315
ASV0132,ASV0497,Undirected,121,,,1.693419
ASV0132,ASV0941,Undirected,122,,,1.642115
ASV0132,ASV1222,Undirected,123,,,1.632575
ASV0132,ASV1341,Undirected,124,,,1.995859
ASV0132,ASV2159,Undirected,125,,,1.715832
ASV0142,ASV1432,Undirected,127,,,2
ASV0151,ASV0201,Undirected,128,,,1.977376
ASV0151,ASV0309,Undirected,129,,,1.80176
ASV0151,ASV0360,Undirected,130,,,1.959276
ASV0151,ASV0413,Undirected,131,,,1.977376
ASV0151,ASV0415,Undirected,132,,,1.998868
ASV0151,ASV0490,Undirected,133,,,1.687818
ASV0151,ASV0491,Undirected,134,,,1.992077
ASV0151,ASV0521,Undirected,135,,,1.649516
ASV0151,ASV0523,Undirected,136,,,1.973967
ASV0151,ASV0777,Undirected,137,,,1.968326
ASV0151,ASV0804,Undirected,138,,,1.621393
ASV0151,ASV0829,Undirected,139,,,1.964913
ASV0151,ASV0857,Undirected,140,,,1.9819
ASV0151,ASV0873,Undirected,141,,,1.99095
ASV0151,ASV1023,Undirected,142,,,1.959276
